,Movie Fridays,,,,,,,,Movie Ratings (Choose 1-10) (Put X if you were not there)(FP if you passed out),,,,,,,,,,,,,,,
,Baahubali: The Beginning,159,6/19/2020,DP,,6.4,156,,8,6,9,5,4.25,7,x,5.5,x,x,x,,1.695,8.1,1.7,
,21 Grams,124,6/20/2020,Nick,,7.1,110,,7.5,fp,6,7.5,fp,7,x,7.5,x,x,x,,0.652,7.7,0.6,
,Enter the Dragon,102,6/26/2020,Austin,,6.1,164,,6,6,6,6.5,6,5.5,x,7,6,x,x*,,0.443,7.7,1.6,
,The Evil Dead,85,6/27/2020,Mike V,,6.6,146,,6.1,4,fp,6,x,7.5,x,8,x,x,8,,1.556,7.5,0.9,
,Good Time,102,7/2/2020,Connor,,8.2,29,,9,7.8,7.5,9,7.66,9,8,8,x,x,x,,0.646,7.4,0.8,
,Zodiac,157,7/3/2020,Mike V,,7.6,61,,8,7,7,8,8,7.5,x,8.5,x,x,7,,0.582,7.7,0.1,
,Okja,120,7/4/2020,Mike V,,7.0,126,,6.9,6,fp,x,X,x,x,8,fp,x,fp,,1.002,7.3,0.3,
,Jojo Rabbit,108,7/5/2020,Connor,,7.3,94,,x,6.9,7,x,x,7,7,x,x,x,8.5,,0.683,7.9,0.6,
,Magnolia,188,7/10/2020,Connor,,6.8,138,,7.5,5.8,5.5,8,7,6,x,7.5,x,x,x,,0.981,8,1.2,
,Drugstore Cowboy,101,7/12/2020,Nick,,7.0,119,,7,7,5.5,7,x,7.5,7.5,7.5,x,x,x,,0.707,7.3,0.3,
,Dark Water,105,7/17/2020,Dan,,4.5,197,,4,4,4,X,5,x,5,5,x,x,x.,,0.548,5.6,1.1,
,Lake Mungo,87,7/18/2020,DP,,4.6,196,,4,4,5,x,5.25,x,x,4.5,x,x,x,,0.570,6.3,1.8,
,Blood Simple,99,7/20/2020,Connor,,7.5,71,,7.8,7.7,6.5,7.5,X,8,x,x,x,x,x,,0.587,7.6,0.1,
,The King,140,7/24/2020,Nick,,7.6,65,,7.8,7,7,8,8.25,7.5,8,8,7,x,7,,0.513,7.2,0.4,
,Paprika,90,7/25/2020,Derek,,8.2,30,,8,fp,8,fp,8.75,x,x,8,fp,x,fp,,0.375,7.7,0.5,
,The Mule,116,7/26/2020,Guest,,6.0,165,,7,4,7,fp,6,4.5,7,x,x,x,6.75,,1.278,7,1.0,
,Searching For Sugar Man,86,7/31/2020,Gil,,8.4,22,,8,7.7,7.5,9,8.33,8.5,fp,8,10,x,x,,0.806,8.2,0.2,
,Rashomon,88,8/1/2020,Connor,,5.0,189,,4,6.2,3,x,5,5.5,5,6,x,x,x,,1.131,8.2,3.2,
,The Godfather Part II,202,8/7/2020,Basil,,9.0,6,,9,9,8,9,9.5,9,9.8,9,x,x,x,,0.518,9,0.0,
,Veronica,90,8/8/2020,DP,,5.3,181,,4,4.5,5,6.5,x,x,x,6.5,x,x,x,,1.151,6.2,0.9,
,Coherence,89,8/14/2020,Derek,,8.4,18,,8.9,8.8,8.5,9,8.75,7,9,8.5,7.5,x,x,,0.710,7.2,1.2,
,Baahubali 2: The Conclusion,167,8/21/2020,DP,,6.6,144,,7,4.5,8,6,4.5,8,8,6,7.5,x,x,,1.431,8.2,1.6,
,First Love,108,8/22/2020,Connor,,7.7,57,,7.4,8.2,8,8,7.66,7,x,7.5,x,x,x,,0.418,6.8,0.9,
,Schindler's List,195,8/28/2020,Mike V,,8.5,17,,8.9,9,8,9,8.66,7.5,fp,9,7,9,x,,0.764,8.9,0.4,
,Silence,161,8/29/2020,Mike V,,4.4,200,,4.5,3,4,4.5,x,x,x,6,x,x,X,,1.084,7.2,2.8,
,My Dinner with Andre,110,9/4/2020,Dan,,7.0,119,,7,8,fp,7,8,9,fp,6,x,4,7,,1.512,7.8,0.8,
,Triangle,99,9/5/2020,Dan,,7.4,81,,7,7.2,7.5,x,8,x,x,7.5,x,x,x,,0.378,6.9,0.5,
,Timecrimes,92,9/11/2020,Will,,7.7,56,,7.5,7,7.5,7.5,9.33,7,fp,8.5,7,7.8,x,,0.782,7.2,0.5,
,First Man,141,9/12/2020,DP,,7.2,97,,7.1,7,7.5,7.5,7.33,x,x,7,x,x,x,,0.236,7.3,0.1,
,Room,118,9/19/2020,Connor,,7.3,87,,8,7,6.5,7,7,8.5,x,8,6,8,x,,0.829,8.1,0.8,
,Y Tu Mamá También,106,9/25/2020,Basil,,5.8,171,,6,4,6.5,8,6.75,7.5,7.8,5,x,4,2,,1.964,7.6,1.8,
,I'm Thinking of Ending Things,134,10/2/2020,Nick,,5.4,180,,4,6,2,5.5,5,8,7.5,5.5,5,5,x,,1.684,6.7,1.4,
,Scream,111,10/3/2020,Nick,,7.3,90,,7,7,8,7,6.66,7.5,8,x,x,x,x,,0.532,7.2,0.1,
,Burning,148,10/10/2020,DP,,7.0,116,,7.5,7,5,x,x,9,x,6.5,x,7.2,x,,1.306,7.5,0.5,
,Apocalypse Now,147,10/16/2020,Austin,,9.2,3,,8.9,9.5,8,10,9.25,10,9,9,8.5,9.5,x,,0.628,8.4,0.8,
,Infernal Affairs,101,10/17/2020,Austin,,5.9,167,,6.5,5,6,6,7,4,7,6,x,x,x,,1.016,8,2.1,
,Irresistible,101,10/23/2020,Gil,,5.6,176,,5,6,6.5,5,6.5,3,fp,6,7,x,x,,1.275,6.2,0.6,
,Europa,112,10/24/2020,Guest,,6.2,162,,6,5.5,4,6.5,8,x,x,7,x,x,x,,1.366,7.6,1.4,
,Caché,84,10/30/2020,Derek,,6.3,158,,6.7,6.8,4.5,7,6,7.5,fp,7,5,x,6.4,,0.991,7.3,1.0,
,Gonjiam: Haunted Asylum,95,10/31/2020,Derek,,7.4,82,,7,7.5,7.5,7.5,7.75,7,7.5,8,fp,7,x,,0.354,6.2,1.2,
,Perfect Blue,81,11/6/2020,DP,,7.9,46,,8.5,8.4,8,7.5,9,7.5,7.8,8,6.5,x,x,,0.718,8,0.1,
,Punch-Drunk Love,95,11/7/2020,Connor,,7.6,60,,7,8.2,7,8,8.25,8,x,7,x,x,x,,0.602,7.3,0.3,
,The Man From Earth,87,11/14/2020,Dan,,8.0,39,,7.9,8.1,9.5,7,9.33,6.5,9.5,7,8,7,x,,1.132,7.9,0.1,
,Paths of Glory,88,11/15/2020,Austin,,8.1,35,,8,8.3,fp,x,8,8,x,8,x,x,x,,0.134,8.4,0.3,
,The Book of Eli,118,11/20/2020,DP,,6.5,150,,6.5,7.5,7.5,5.5,7.25,4.5,x,6.5,7,x,fp,,1.056,6.9,0.4,
,Dr. Strangelove,95,11/27/2020,Austin,,7.9,40,,8.5,8.3,6.5,8,8.33,7.5,x,8.5,x,x,x,,0.728,8.4,0.5,
,Bully,108,12/4/2020,Nick,,8.0,38,,7.5,7.5,7,9,9,9,x,7,x,x,x,,0.957,6.9,1.1,
,A Tale of Two Sisters,114,12/11/2020,Mike V,,6.5,152,,6,5.5,6.5,6.5,x,6.5,7,7.5,x,,x,,0.645,7.2,0.7,
,Tenet,150,12/18/2020,Dan,,6.2,161,,5.1,7,7.5,x,9,5.5,6,5.5,x,4,x,,1.569,7.6,1.4,
,The Guilty,85,12/19/2020,DP,,7.6,64,,7.3,8,7.5,x,x,7.5,fp,7.5,x,,x,,0.261,7.5,0.1,
,Elephant,81,12/26/2020,Basil,,6.9,129,,5,7.3,6.5,8,7.75,8,7.5,7,7,6,6,,0.952,7.2,0.3,
,The Room,99,1/1/2021,Guest,,3.1,212,,3,4,4.5,3,x,2.5,x,3,2,2.8,x,,0.798,3.7,0.6,
,Blue Ruin,90,1/1/2021,Dan,,7.3,86,,7.5,7.9,6.5,7.5,7.66,7,x,8,6.5,7.5,x,,0.554,7.1,0.2,
,Climax,97,1/2/2021,DP,,7.5,76,,7.6,8.1,7,6,7.25,9,x,x,x,x,x,,1.018,7.1,0.4,
,A Clockwork Orange,136,1/8/2021,Will,,7.8,49,,8,7.5,6.5,x,8,8.5,7.5,8,8,8.5,x,,0.612,8.3,0.5,
,Munich,164,1/9/2021,Mike V,,6.6,143,,6,6,7.5,x,6.25,6.5,x,7.5,x,,x,,0.703,7.5,0.9,
,One Flew Over The Cuckoo's Nest,133,1/15/2021,Mike V,,7.7,52,,9,8.8,7,7.5,8.5,7,8.5,9,5,7,x,,1.276,8.7,1.0,
,Tetsuo: The Iron Man,67,1/16/2021,Connor,,2.8,214,,2,4,1,x,4,2,x,3.5,x,x,x,,1.255,7,4.3,
,The Big Short,130,1/22/2021,Basil,,8.3,26,,8,8.3,8.5,8.5,8.75,x,9,8.5,8,7,x,,0.579,7.8,0.5,
,The Endless,111,1/23/2021,Nick,,4.6,195,,4,4,fp,5.5,x,fp,x,5,x,x,fp,,0.750,6.5,1.9,
,Icarus,120,1/29/2021,Nick,,7.8,50,,8,7,7,9,7.5,8,fp,8,8,x,x,,0.651,7.9,0.1,
,Evil Dead 2,85,1/30/2021,Mike V,,6.6,148,,7,5.9,6,6.5,7.5,5.5,x,7.5,x,x,x,,0.800,7.1,0.5,
,Pi,84,1/30/2021,Nick,,7.5,75,,7.5,7.2,4.5,8.5,8.25,8,x,8.5,x,x,x,,1.408,7.4,0.1,
,The Seventh Seal,96,2/5/2021,DP,,6.8,133,,6,5,4.5,9.2,7.33,8,7,7.5,7,,x,,1.467,8.2,1.4,
,The Hunt,115,2/6/2021,Derek,,7.3,92,,7.5,7,7,8.3,x,7,fp,7,x,x,x,,0.529,8.3,1.0,
,Memories of Murder,132,2/12/2021,Austin,,7.5,66,,7.5,6.5,6.5,8,7.75,x,x,8,7.5,8.5,x,,0.713,8.1,0.6,
,"Aguirre, Wrath Of God",95,2/13/2021,Dan,,7.3,95,,8,7.8,3,7.8,8.66,8.5,x,7,x,x,x,,1.951,,7.3,
,Lost Highway,134,2/15/2021,AHS,,7.1,105,,7.5,8,7,6.8,x,7,x,6.5,x,x,x,,0.535,7.6,0.5,
,Incendies,131,2/19/2021,Derek,,7.3,91,,8,6,6.5,7,8.25,6.5,8.5,8.5,6.5,fp,x,,0.998,8.3,1.0,
,The Man From Earth: Holocene,98,2/20/2021,Basil,,3.9,209,,4,3,4.5,4,5.33,2,5,3.5,x,x,x,,1.083,5.3,1.4,
,Mirror,60,2/21/2021,AHS,,5.8,170,,4.5,4.5,x,TBD,x,8.5,x,x,x,x,x,,2.309,8.8,3.0,
,Possession,124,2/26/2021,Connor,,7.1,112,,7.6,8,6,7.7,9.25,8.5,4.5,6,4,9,x,,1.837,7.4,0.3,
,Aniara,106,2/27/2021,Nick,,6.9,127,,6.51,6.5,6.5,7,x,6.5,8,7.5,x,x,x,,0.606,6.2,0.7,
,The Conformist,113,2/28/2021,Dan,,8.4,23,,7.5,8,x,8,x,10,x,x,x,x,x,,1.109,8,0.4,
,The Fighter,116,3/5/2021,Guest,,7.0,117,,7,7,7,7,7.75,7,x,8,6.5,6,x,,0.592,7.8,0.8,
,Departures,131,3/12/2021,Gil,,7.5,67,,7.5,7.7,7,7,x,6.5,8,8,8.5,x,x,,0.658,,7.5,
,Nosferatu the Vampyre,107,3/14/2021,AHS,,7.2,98,,6.7,6.4,6,7.7,8.33,8,x,7.5,x,x,x,,0.874,7.5,0.3,
,The Killing of a Chinese Bookie,135,3/19/2021,Guest,,7.0,125,,7.5,7,6,6.8,7,7,x,7,7.5,x,x,,0.468,7.4,0.4,
,Under The Shadow,84,3/20/2021,Derek,,4.5,197,,4,4,4.5,5,x,5,x,4.5,x,x,x,,0.447,6.9,2.4,
,Black Dynamite,84,3/26/2021,Guest,,7.4,84,,7,7.7,x,fp,x,7.5,x,7.5,7.3,x,x,,0.265,7.4,0.0,
,Assimilate,93,3/27/2021,Austin,,4.8,190,,4,4,7,4,5.75,3.5,6,4.5,x,x,x,,1.246,5.3,0.5,
,The Third Part of the Night,105,3/28/2021,AHS,,5.1,185,,5,5.9,x,4,x,5.5,x,x,x,x,x,,0.821,7.4,2.3,
,White Right: Meeting the Enemy,55,4/2/2021,Gil,,8.0,37,,8,8,7.5,8,8.25,8,8,8,8.5,x,fp,,0.264,,8.0,
,Midnight Express,121,4/2/2021,Austin,,7.7,59,,7.5,7.7,6.5,8,8.25,7,8,8.5,7.5,x,fp,,0.624,7.6,0.1,
,The Battle of Algiers,121,4/3/2021,Connor,,8.1,36,,x,8.6,6.5,8.2,8,8.5,x,8.5,x,x,x,,0.792,8.1,0.1,
,Birdman or (The Unexpected Virtue of Ignorance),119,4/9/2021,Nick,,8.6,15,,9.2,8.6,8,9,9,9,9,9,8.8,6.5,x,,0.814,7.7,0.9,
,Splinter,82,4/10/2021,DP,,5.6,176,,4.5,5,5,5,7,5.5,7,6,x,x,x,,0.954,6.1,0.5,
,Shin Godzilla,120,4/17/2021,Connor,,7.5,70,,7.4,7.5,7.5,6.5,7.66,8,8,x,7.5,7.5,x,,0.438,6.8,0.7,
,Bad Trip,84,4/17/2021,Derek,,7.3,85,,7.7,7.8,7.5,7.5,7.25,7.5,7.5,x,6,x,,,0.567,6.6,0.7,
,Seven Psychopaths,110,4/23/2021,Guest,,6.5,151,,6.7,6,6,6.5,6.33,4.5,x,7,7,8.5,,,1.065,7.2,0.7,
,Looper,113,4/30/2021,Will,,6.8,136,,7,7,7.5,6.5,7.66,5.5,fp,x,6.5,7,x,,0.677,7.4,0.6,
,Napoleon Dynamite,96,5/1/2021,Basil,,6.9,128,,7,7.8,5,8.3,6.25,8,8,x,8,4,x,,1.535,6.9,0.0,
,Sorcerer,121,5/7/2021,Dan,,8.1,34,,8.49,7.9,7.5,7.6,8.75,8,8.5,x,x,x,x,,0.482,7.7,0.4,
,Conspiracy,96,5/14/2021,Dan,,6.4,154,,6,7,4.5,7,7.5,6,x,x,8.5,5,x,,1.321,7.7,1.3,
,Akira,124,5/21/2021,DP,,8.3,28,,8.4,8.4,8,7.5,8.5,8.5,fp,9,8,8,x,,0.430,8,0.3,
,The Trial of the Chicago 7,129,5/28/2021,Guest,,6.8,139,,6.5,6,7,6,6.5,6.5,x,x,8.5,7,,,0.802,7.8,1.1,
,Trollhunter,103,5/29/2021,Dan,,7.0,114,,6.9,7,7,x,7.25,x,x,x,x,x,x,,0.149,7,0.0,
,Barton Fink,116,5/30/2021,Connor,,8.3,27,,7.5,8.1,8,9,x,9,x,x,8,x,x,,0.606,7.7,0.6,
,Stranger Than Paradise,89,5/2/2021,AHS,,7.0,118,,7.5,5.6,5.5,7.5,x,9,x,x,x,x,x,,1.475,7.5,0.5,
,My Name Is Khan,165,6/4/2021,Basil,,7.5,69,,7.5,7.5,8,7,7.66,6.5,8.8,8,8.75,5,8,,1.074,8,0.5,
,The Conjuring: The Devil Made Me Do It,112,6/5/2021,Derek,,4.0,208,,4.5,3.5,4,fp,x,x,x,5,x,3,fp,,0.791,5.9,1.9,
,Cobra Verde,111,6/13/2021,AHS,,4.1,203,,3,2,3.5,6.2,x,6,x,x,x,x,x,,1.870,7,2.9,
,Mad Max: Fury Road,120,6/18/2021,Derek,,7.7,55,,7.8,7.6,7.5,7.8,7.75,8,x,x,8,7,x,,0.325,8.1,0.4,
,Dead End,85,6/19/2021,DP,,5.2,184,,x,x,5.5,x,6.33,4.5,5,6,x,4,x,,0.892,6.6,1.4,
,Days of Heaven,94,6/23/2021,Connor,,7.2,102,,x,x,6,7.8,x,8.5,x,x,7,6.5,x,,1.001,7.8,0.6,
,Sin City,124,6/25/2021,Mike V,,7.2,99,,7.5,7.5,7,7,7.25,7,x,7.5,,7,,,0.248,8,0.8,
,Barry Lyndon,185,7/1/2021,Connor,,6.6,145,,,,6,,7.33,,,,,6.5,,,0.672,8.1,1.5,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,   ,,,,,,,,,,,,,,,,,,,,